# .test .cputime .temperature .time_mat1 .time_mat2
319 0.275392  5.844 0.003273 0.004509
320 0.277541  4.870 0.003266 0.004606
321 0.279011  5.357 0.003309 0.004567
322 0.280012  3.896 0.003312 0.004645
323 0.280350  5.357 0.003333 0.004645
324 0.281176  5.844 0.003346 0.004639
325 0.282171  5.357 0.003368 0.004676
326 0.283163  4.870 0.003385 0.004691
327 0.283629  5.844 0.003397 0.004774
328 0.284170  5.357 0.003430 0.004804
329 0.285575  4.870 0.003436 0.004819
330 0.286342  4.383 0.003474 0.004860
331 0.287361  5.357 0.003474 0.004866
332 0.288378  5.844 0.003487 0.004904
333 0.288497  5.357 0.003503 0.004938
334 0.289039  4.870 0.003533 0.004972
335 0.290672  4.383 0.003547 0.004982
336 0.291525  4.870 0.003570 0.005131
337 0.292070  5.357 0.003520 0.005089
338 0.292176  5.844 0.003606 0.005095
339 0.293883  5.844 0.003567 0.005159
340 0.294246  5.844 0.003636 0.005184
341 0.294436  6.331 0.003631 0.005228
342 0.295879  5.844 0.003686 0.005226
343 0.297825  4.870 0.003663 0.005237
344 0.297827  5.357 0.003720 0.005276
345 0.298433  6.331 0.003714 0.005306
346 0.298840  5.357 0.003765 0.005356
347 0.300181  6.331 0.003707 0.005390
348 0.301688  6.331 0.003797 0.005431
349 0.302017  5.357 0.003794 0.005429
350 0.301972  5.357 0.003840 0.005502
351 0.303922  6.331 0.003828 0.005531
352 0.305279  6.818 0.003907 0.005572
353 0.305234  5.844 0.003888 0.005591
354 0.307105  6.331 0.003933 0.005668
355 0.307254  4.870 0.003916 0.005660
356 0.307551  6.331 0.003983 0.005689
357 0.309243  5.844 0.003921 0.005744
358 0.311834  5.844 0.004007 0.005748
359 0.309605  5.357 0.004017 0.005825
360 0.312994  6.331 0.004066 0.005827
361 0.313050  7.305 0.004051 0.005878
362 0.313341  6.818 0.004098 0.005920
363 0.314723  6.331 0.004096 0.005956
364 0.314166  5.357 0.004151 0.005971
365 0.316176  5.844 0.004135 0.006020
366 0.315803  6.331 0.004193 0.006070
367 0.317131  6.331 0.004201 0.006074
368 0.318034  5.844 0.004234 0.006173
369 0.319364  5.844 0.004267 0.006188
370 0.320321  6.331 0.004262 0.006225
371 0.321453  6.331 0.004282 0.006243
372 0.322889  7.305 0.004327 0.006301
373 0.322910  6.331 0.004334 0.006327
374 0.323432  7.305 0.004369 0.006339
375 0.324115  6.331 0.004363 0.006401
376 0.324834  6.331 0.004454 0.006391
377 0.325638  6.818 0.004434 0.006450
378 0.325854  6.818 0.004455 0.006523
379 0.327353  7.305 0.004465 0.006496
380 0.329159  5.357 0.004504 0.006634
381 0.329406  6.331 0.004528 0.006633
382 0.329940  5.844 0.004533 0.006625
383 0.331191  6.818 0.004565 0.006673
384 0.333201  6.331 0.004581 0.006741
385 0.332470  7.305 0.004604 0.006760
386 0.334287  5.844 0.004620 0.006797
387 0.335437  6.818 0.004646 0.006840
388 0.335297  6.331 0.004665 0.006895
389 0.336549  6.818 0.004716 0.006890
390 0.338558  6.818 0.004717 0.006930
391 0.338048  6.331 0.004738 0.006988
392 0.339399  6.818 0.004750 0.007015
393 0.340287  6.818 0.004801 0.007030
394 0.342298  6.331 0.004796 0.007108
395 0.341527  5.844 0.004850 0.007108
396 0.343081  5.844 0.004847 0.007172
397 0.344048  6.818 0.004910 0.007241
